dense,moe,thick,reinf_ring,hoop,drumhead,tune_att,tune_res,RMS,Spectral Flatness,ZCR,Spectral Kurtosis,Spectral Entropy,Spectral Slope,Inharmonicity,Effective Duration,name_file,wood,f0,hoop_top_thickness_mm,hoop_material_density_kg_m3,hoop_effective_thickness_mm,batter_film_total_mil,batter_control_ring_mil,batter_effective_total_mil,batter_is_coated_proxy,batter_dry_vents_proxy,batter_damping_proxy,config_id,wood_acoustic_velocity_m_s,wood_acoustic_impedance_rayl
690,11.359,5.5,True,STEEL,SIMPLE,60,60,0.2080490849207695,-0.7062183770500834,-0.507640946109086,1.243508225952219,0.9391306436624056,1.8737276691074805,-0.6206919790652666,2.5178571428571423,0001.wav,copaiba,113.66,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,70,60,0.98441308227517,-0.9640933819965448,-1.3719718182191254,0.824550950428385,-0.8591792803304523,0.2892723428095996,-1.0170540865451023,-0.0178571428571428,0002.wav,copaiba,128.947,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,80,60,0.0670181393340541,-0.6692593275959149,-0.6952988124706592,0.0292405233809132,-0.6038589834948717,-0.2522693435663014,-0.7519648751848798,-0.2678571428571428,0003.wav,copaiba,146.026,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,85,60,-0.3180491541398104,-0.7380133424647286,-0.7030915087119911,-0.3011784559120589,-0.1511963585795237,-0.3960817098735926,-0.6152000583823819,-0.7678571428571428,0004.wav,copaiba,145.066,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,85,70,-0.3626644512080667,-0.9789096213344554,-1.3421052275552987,-0.3165807280583481,-0.6937880326868013,-0.3225032468449414,-0.9093997819155956,-0.6607142857142857,0005.wav,copaiba,168.321,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,85,80,-0.4071421750815749,0.702139025450232,1.1574760503115955,-0.3059249503896936,0.8080460360153519,-0.3785964883387127,0.6866619531163137,-0.5892857142857143,0006.wav,copaiba,196.875,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,85,85,-0.0160875272384999,0.8215522600528458,0.667957632625782,-0.274053695374906,0.3084780312171747,-0.5511175245040046,0.4869186139285387,-0.875,0007.wav,copaiba,216.176,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,80,85,-0.319349730776542,-0.9922241843366404,-1.293200647046329,-0.3128185333173093,-0.4602057915154935,-0.2964705776503052,-0.4492962955825828,-0.8035714285714285,0008.wav,copaiba,200.455,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,70,85,0.3402485682434525,-0.9783913427021588,-1.2826011370662211,0.0047170602771502,-0.7155750608543795,0.0033082101969777,-0.8782278190434284,-0.2321428571428572,0009.wav,copaiba,156.383,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,60,85,-0.1552321879716205,-0.9136770860706824,-1.0954375296792145,0.2271919169516435,-0.2053577183171221,0.7648363522763214,-0.6022006263034448,1.4107142857142854,0010.wav,copaiba,202.294,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,60,80,1.7539381373004466,-0.6525940977327155,-0.7381730727169499,2.146530059747904,-0.2842470187047402,0.740700982632468,-0.5422908710795348,1.1964285714285712,0011.wav,copaiba,160.949,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,60,70,0.9356655348300456,-0.8518700918154257,-1.1391559986849824,1.3456172671849471,-0.0428702789334245,0.4730507190990028,-1.0067181287323748,0.0535714285714286,0012.wav,copaiba,126.0,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
690,11.359,5.5,True,STEEL,SIMPLE,70,70,2.336563762102328,-0.9384771916009714,-1.2792838295690432,2.8626790891454164,-0.7305860646221883,0.6326866428697816,-0.9049369819497876,0.8749999999999997,0013.wav,copaiba,140.446,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,8,128.3055682368451,88530.84208342311
