name_file,wood,thick,f0,tension_att,tension_res,anel_ref,drumskin_att,drumskin_res,hoop,recorded
0308.wav,teca,"8,5",0,85,60,False,COATED,SIMPLE,ALUMINUM,False
0309.wav,teca,"8,5",0,85,70,False,COATED,SIMPLE,ALUMINUM,False
0310.wav,teca,"8,5",0,85,80,False,COATED,SIMPLE,ALUMINUM,False
0311.wav,teca,"8,5",0,85,85,False,COATED,SIMPLE,ALUMINUM,False
0312.wav,teca,"8,5",0,80,85,False,COATED,SIMPLE,ALUMINUM,False
0313.wav,teca,"8,5",0,70,85,False,COATED,SIMPLE,ALUMINUM,False
0314.wav,teca,"8,5",0,60,85,False,COATED,SIMPLE,ALUMINUM,False
0315.wav,teca,"8,5",0,60,80,False,COATED,SIMPLE,ALUMINUM,False
0316.wav,teca,"8,5",0,60,70,False,COATED,SIMPLE,ALUMINUM,False
0317.wav,teca,"8,5",0,70,70,False,COATED,SIMPLE,ALUMINUM,False
0318.wav,teca,"8,5",0,70,80,False,COATED,SIMPLE,ALUMINUM,False
0319.wav,teca,"8,5",0,80,80,False,COATED,SIMPLE,ALUMINUM,False
0320.wav,teca,"8,5",0,80,70,False,COATED,SIMPLE,ALUMINUM,False
